District,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cost of solid waste disposal (Nepalese rupee (NRS)),Cost of solid waste disposal (Nepalese rupee (NRS)),Cost of solid waste disposal (Nepalese rupee (NRS)),Cost of solid waste disposal (Nepalese rupee (NRS)),Cost of solid waste disposal (Nepalese rupee (NRS)),Cost of solid waste disposal (Nepalese rupee (NRS)),Cost of solid waste disposal (Nepalese rupee (NRS)),Cost of solid waste disposal (Nepalese rupee (NRS)),Cost of solid waste disposal (Nepalese rupee (NRS)),Cost of solid waste disposal (Nepalese rupee (NRS)),Cost of solid waste disposal (Nepalese rupee (NRS))
Rupandehi,15868,22718,31039,12575,25366,69008,61664,105410,161810,106864,32024
Source(Cost of solid waste disposal),National Planning Commission (2019). Environment Statistics of Nepal 2019. Kathmandu; Central Bureau of Statistics.
Unit(Cost of solid waste disposal),Nepalese rupee (NRS)
